title_Id,author_Id
1,1
1,2
1,3
1,4
1,5
2,2
3,6
4,7
5,8
6,9
7,10
8,11
9,11
10,6
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
